orden_id,fecha_compra,cliente_id,region,canal,producto,cantidad,total_soles,prioridad_entrega
VEN-00548,2026-05-03 04:43:00,CLI-0326,Junin,tienda,Audifonos,3,1106.24,media
VEN-00522,2026-05-09 13:52:00,CLI-0041,Arequipa,marketplace,Monitor,4,3948.31,media
VEN-00559,2026-05-16 13:20:00,CLI-0077,Junin,app,Impresora,2,2952.61,baja
VEN-00553,2026-05-18 04:05:00,CLI-0240,Junin,app,Laptop,7,4293.5,media
VEN-00529,2026-05-24 05:42:00,CLI-0087,La Libertad,marketplace,Audifonos,2,4821.52,baja
VEN-00530,2026-05-27 11:59:00,CLI-0101,Lima,marketplace,Teclado,7,3984.26,media
VEN-00539,2026-05-30 10:40:00,CLI-0263,Lima,app,Monitor,8,2534.5,media
VEN-00558,2026-05-31 19:32:00,CLI-0200,Loreto,web,Monitor,5,4018.39,baja
VEN-00546,2026-06-01 09:35:00,CLI-0064,Cusco,app,Mouse,8,4787.5,media
VEN-00549,2026-06-04 19:45:00,CLI-0187,Cusco,tienda,Monitor,4,3105.5,alta
VEN-00527,2026-06-05 21:38:00,CLI-0285,Cusco,tienda,Teclado,6,2970.95,baja
VEN-00536,2026-06-17 07:58:00,CLI-0279,Arequipa,app,SSD,1,2907.57,baja
VEN-00555,2026-06-17 23:57:00,CLI-0327,Arequipa,tienda,Monitor,6,3069.19,alta
VEN-00526,2026-06-20 11:36:00,CLI-0133,Cusco,tienda,Router,7,5062.38,media
VEN-00556,2026-06-21 07:17:00,CLI-0006,Loreto,marketplace,Mouse,1,471.4,baja
VEN-00533,2026-06-22 06:06:00,CLI-0259,Arequipa,web,Teclado,1,4596.4,baja
VEN-00521,2026-06-29 03:01:00,CLI-0162,Arequipa,marketplace,Router,6,3618.81,baja
VEN-00420,2026-01-06 15:23:00,CLI-0314,Junin,web,Audifonos,6,2428.91,baja
VEN-00409,2026-01-08 03:11:00,CLI-0145,Loreto,marketplace,Mouse,1,3930.24,media
VEN-00417,2026-01-08 17:08:00,CLI-0254,Loreto,app,SSD,5,176.7,baja
VEN-00414,2026-01-14 06:51:00,CLI-0020,Piura,marketplace,Teclado,7,3452.21,media
VEN-00432,2026-01-17 09:20:00,CLI-0076,Lima,marketplace,Monitor,7,2740.94,media
VEN-00402,2026-01-20 10:13:00,CLI-0254,Arequipa,tienda,Router,3,367.32,alta
VEN-00427,2026-01-27 22:33:00,CLI-0266,Loreto,tienda,Teclado,1,1497.91,baja
VEN-00438,2026-01-31 01:36:00,CLI-0210,Arequipa,web,Mouse,2,1468.93,baja
VEN-00435,2026-02-07 02:46:00,CLI-0183,Junin,app,Mouse,3,979.1,media
VEN-00410,2026-02-08 07:03:00,CLI-0080,Junin,marketplace,Laptop,3,3354.24,alta
VEN-00404,2026-02-09 22:03:00,CLI-0117,Lima,app,Impresora,4,5358.57,alta
VEN-00425,2026-02-17 16:35:00,CLI-0296,Arequipa,tienda,Router,7,1729.31,alta
VEN-00423,2026-02-24 18:20:00,CLI-0210,Loreto,app,Router,3,3671.31,baja
VEN-00418,2026-02-25 14:53:00,CLI-0022,Piura,tienda,Audifonos,6,4759.28,baja
VEN-00403,2026-02-27 22:05:00,CLI-0163,Piura,web,Router,8,4306.73,baja
VEN-00434,2026-03-03 22:14:00,CLI-0144,Loreto,tienda,Mouse,2,1079.68,baja
VEN-00439,2026-03-07 12:44:00,CLI-0331,Lima,web,Mouse,5,1070.99,baja
VEN-00426,2026-03-08 11:00:00,CLI-0082,Junin,app,Monitor,2,1722.2,alta
VEN-00421,2026-03-14 22:21:00,CLI-0294,Loreto,tienda,Teclado,7,2352.03,alta
VEN-00440,2026-03-15 02:32:00,CLI-0103,Piura,marketplace,Teclado,2,3979.1,baja
VEN-00436,2026-03-16 12:28:00,CLI-0029,Loreto,app,Audifonos,3,1432.87,alta
VEN-00428,2026-04-06 19:30:00,CLI-0134,Loreto,web,Teclado,7,937.01,media
VEN-00407,2026-04-17 06:17:00,CLI-0259,Cusco,app,Monitor,1,4368.01,media
VEN-00412,2026-04-21 01:09:00,CLI-0073,La Libertad,marketplace,Impresora,5,4775.84,baja
VEN-00419,2026-04-28 22:34:00,CLI-0222,Junin,app,Router,4,1072.35,alta
VEN-00401,2026-04-29 10:20:00,CLI-0243,Cusco,marketplace,Monitor,6,2586.09,baja
VEN-00422,2026-05-04 19:34:00,CLI-0298,La Libertad,web,Mouse,8,2071.16,alta
VEN-00430,2026-05-06 04:13:00,CLI-0093,Piura,web,Monitor,6,2715.81,alta
VEN-00429,2026-05-16 21:37:00,CLI-0064,Cusco,app,Laptop,8,863.98,media
VEN-00437,2026-05-17 09:38:00,CLI-0130,Lima,marketplace,Router,3,2819.67,alta
VEN-00415,2026-05-24 03:50:00,CLI-0091,Piura,marketplace,Mouse,8,1551.47,baja
VEN-00406,2026-06-01 10:52:00,CLI-0108,Loreto,app,Teclado,8,4608.34,media
VEN-00405,2026-06-05 21:13:00,CLI-0119,Loreto,app,Router,4,1167.89,media
VEN-00411,2026-06-06 09:37:00,CLI-0255,Loreto,app,Teclado,8,4066.49,alta
VEN-00416,2026-06-14 09:17:00,CLI-0140,Lima,web,Laptop,3,2602.45,alta
VEN-00433,2026-06-14 21:38:00,CLI-0067,La Libertad,web,Teclado,8,3945.62,baja
VEN-00424,2026-06-17 02:17:00,CLI-0310,Piura,app,Monitor,2,3389.47,baja
VEN-00431,2026-06-18 00:15:00,CLI-0300,Lima,marketplace,SSD,2,1025.98,media
VEN-00413,2026-06-18 18:27:00,CLI-0084,Arequipa,marketplace,Mouse,3,3667.82,media
VEN-00408,2026-06-22 13:41:00,CLI-0074,Loreto,tienda,SSD,5,53.99,alta
VEN-00821,2026-01-04 17:45:00,CLI-0212,Cusco,web,Audifonos,6,4360.64,baja
VEN-00819,2026-01-06 23:40:00,CLI-0344,Cusco,web,Teclado,5,4248.05,baja
VEN-00822,2026-01-07 13:59:00,CLI-0290,Arequipa,marketplace,Monitor,1,2325.45,alta
VEN-00809,2026-01-08 22:47:00,CLI-0145,Cusco,marketplace,Audifonos,1,5171.4,alta
VEN-00824,2026-01-20 14:44:00,CLI-0297,Cusco,web,Mouse,2,1805.81,baja
VEN-00804,2026-01-24 20:55:00,CLI-0275,Loreto,app,Monitor,7,2304.4,alta
VEN-00813,2026-01-25 17:19:00,CLI-0318,Junin,app,SSD,5,38.22,media
VEN-00820,2026-01-26 09:48:00,CLI-0324,Cusco,marketplace,Monitor,7,5265.08,baja
VEN-00835,2026-01-27 04:38:00,CLI-0051,Cusco,tienda,SSD,6,5020.38,alta
VEN-00811,2026-02-06 03:48:00,CLI-0028,Cusco,marketplace,Router,8,2529.31,media
VEN-00829,2026-02-09 02:19:00,CLI-0232,La Libertad,tienda,Mouse,2,3034.32,baja
VEN-00839,2026-02-09 20:11:00,CLI-0171,La Libertad,marketplace,Teclado,1,5014.77,alta
VEN-00836,2026-02-11 10:30:00,CLI-0172,Arequipa,tienda,Router,6,1473.33,baja
VEN-00834,2026-02-11 12:26:00,CLI-0127,Cusco,marketplace,SSD,7,2640.19,media
VEN-00802,2026-02-16 16:13:00,CLI-0277,La Libertad,tienda,Teclado,8,3524.25,alta
VEN-00828,2026-02-18 09:24:00,CLI-0307,Arequipa,marketplace,Teclado,3,1228.25,media
VEN-00831,2026-02-24 11:21:00,CLI-0017,Piura,marketplace,Impresora,7,1942.21,alta
VEN-00830,2026-02-24 12:32:00,CLI-0076,La Libertad,tienda,Impresora,1,2726.12,alta
VEN-00825,2026-03-01 19:58:00,CLI-0030,Cusco,marketplace,Router,2,3267.13,media
VEN-00837,2026-03-05 20:35:00,CLI-0189,Loreto,app,Router,2,4621.91,media
VEN-00808,2026-03-09 15:10:00,CLI-0097,Piura,marketplace,Laptop,3,4025.5,baja
VEN-00807,2026-03-11 03:07:00,CLI-0097,Loreto,tienda,Router,3,3155.39,media
VEN-00801,2026-03-11 23:55:00,CLI-0240,Lima,marketplace,Mouse,3,89.26,alta
VEN-00805,2026-03-14 17:32:00,CLI-0223,Arequipa,tienda,Mouse,2,3088.16,baja
VEN-00826,2026-03-19 11:03:00,CLI-0148,Loreto,tienda,Laptop,3,4836.18,alta
VEN-00806,2026-03-22 11:10:00,CLI-0277,La Libertad,web,Audifonos,8,1991.99,baja
VEN-00838,2026-03-26 04:07:00,CLI-0070,La Libertad,app,SSD,4,5320.36,baja
VEN-00810,2026-04-19 09:05:00,CLI-0334,Lima,marketplace,SSD,3,2788.06,alta
VEN-00818,2026-04-21 19:20:00,CLI-0334,Cusco,tienda,SSD,8,703.31,alta
VEN-00833,2026-04-22 09:44:00,CLI-0138,La Libertad,app,Router,8,4218.69,baja
VEN-00812,2026-04-27 16:43:00,CLI-0147,La Libertad,app,Audifonos,5,472.0,alta
VEN-00814,2026-05-02 16:47:00,CLI-0041,Lima,web,Mouse,6,3170.41,baja
VEN-00840,2026-05-03 06:33:00,CLI-0196,Lima,marketplace,Laptop,5,1982.25,baja
VEN-00803,2026-05-03 19:38:00,CLI-0348,Junin,app,Impresora,6,3696.11,alta
VEN-00827,2026-05-06 07:30:00,CLI-0300,Cusco,marketplace,Monitor,3,3968.56,baja
VEN-00817,2026-05-15 09:07:00,CLI-0026,Junin,web,Impresora,8,3928.46,baja
VEN-00815,2026-05-20 22:42:00,CLI-0065,Lima,marketplace,SSD,3,1026.41,alta
VEN-00816,2026-06-15 21:39:00,CLI-0114,Cusco,web,Monitor,8,1669.9,baja
VEN-00832,2026-06-19 04:50:00,CLI-0161,Arequipa,web,Teclado,2,5225.65,alta
VEN-00823,2026-06-24 07:01:00,CLI-0208,Loreto,marketplace,Monitor,6,4577.63,media
VEN-00387,2026-01-10 19:41:00,CLI-0253,Junin,marketplace,SSD,6,3705.84,media
VEN-00364,2026-01-20 05:32:00,CLI-0209,Cusco,app,Audifonos,4,5182.39,alta
VEN-00375,2026-01-25 11:49:00,CLI-0240,Arequipa,tienda,Monitor,3,854.22,media
VEN-00388,2026-01-31 11:24:00,CLI-0114,Arequipa,tienda,Teclado,1,2158.09,media
VEN-00399,2026-02-08 20:13:00,CLI-0317,Lima,tienda,Router,2,2449.08,alta
VEN-00389,2026-02-22 18:33:00,CLI-0167,Piura,app,Laptop,2,1946.53,alta
VEN-00361,2026-02-23 04:59:00,CLI-0311,La Libertad,app,Monitor,8,1159.85,baja
VEN-00384,2026-02-26 08:45:00,CLI-0085,Junin,tienda,Impresora,6,2100.36,alta
VEN-00386,2026-03-05 15:01:00,CLI-0077,Arequipa,marketplace,SSD,3,4753.7,baja
VEN-00393,2026-03-12 17:11:00,CLI-0016,Junin,web,SSD,5,76.81,alta
VEN-00380,2026-03-28 00:30:00,CLI-0037,Lima,app,Laptop,1,4191.71,baja
VEN-00381,2026-03-30 01:15:00,CLI-0146,Loreto,marketplace,Laptop,5,977.09,baja
VEN-00366,2026-04-02 16:23:00,CLI-0267,La Libertad,web,Mouse,1,3253.49,media
VEN-00376,2026-04-10 05:35:00,CLI-0067,Arequipa,web,Monitor,6,2554.68,baja
VEN-00390,2026-04-10 06:00:00,CLI-0067,Piura,app,SSD,4,3895.46,baja
VEN-00373,2026-04-12 17:47:00,CLI-0265,Piura,app,SSD,6,3303.32,media
VEN-00369,2026-04-17 09:01:00,CLI-0256,Piura,tienda,Laptop,1,4782.9,alta
VEN-00367,2026-05-01 06:51:00,CLI-0207,Lima,marketplace,Impresora,2,4202.39,media
VEN-00394,2026-05-03 21:07:00,CLI-0078,La Libertad,web,Monitor,5,1350.06,media
VEN-00372,2026-05-06 12:44:00,CLI-0178,Loreto,tienda,Laptop,7,3514.05,media
VEN-00383,2026-05-11 09:46:00,CLI-0326,Lima,app,Monitor,5,2702.08,baja
VEN-00365,2026-05-13 02:00:00,CLI-0247,Loreto,app,Impresora,4,1281.46,baja
VEN-00398,2026-05-13 11:30:00,CLI-0049,Cusco,marketplace,Laptop,3,1328.3,alta
VEN-00382,2026-05-15 11:09:00,CLI-0033,Lima,app,Teclado,3,795.04,media
VEN-00400,2026-05-17 15:27:00,CLI-0263,Cusco,web,Audifonos,1,4437.57,media
VEN-00385,2026-05-19 20:39:00,CLI-0221,Lima,web,Laptop,8,4433.77,alta
VEN-00379,2026-05-21 22:33:00,CLI-0105,Arequipa,marketplace,Audifonos,3,781.42,media
VEN-00371,2026-05-22 02:02:00,CLI-0084,Piura,web,Teclado,3,5348.04,alta
VEN-00397,2026-05-25 20:26:00,CLI-0098,Loreto,app,Router,8,4384.52,alta
VEN-00396,2026-05-28 00:57:00,CLI-0183,Lima,app,Monitor,5,3876.54,alta
VEN-00363,2026-06-01 14:06:00,CLI-0095,Lima,marketplace,Router,7,526.13,baja
VEN-00378,2026-06-07 22:40:00,CLI-0015,La Libertad,web,Teclado,2,2846.79,alta
VEN-00370,2026-06-08 22:59:00,CLI-0344,Junin,marketplace,SSD,3,1375.07,media
VEN-00362,2026-06-13 13:37:00,CLI-0020,La Libertad,web,Impresora,7,3311.82,media
VEN-00391,2026-06-15 19:30:00,CLI-0096,Cusco,app,Teclado,5,4598.5,media
VEN-00395,2026-06-17 07:38:00,CLI-0288,Junin,marketplace,Laptop,5,1130.46,media
VEN-00377,2026-06-17 18:45:00,CLI-0276,Piura,web,Audifonos,8,3684.93,alta
VEN-00392,2026-06-19 07:17:00,CLI-0330,Lima,web,Audifonos,5,4372.61,media
VEN-00374,2026-06-20 18:54:00,CLI-0345,Piura,marketplace,Monitor,4,4738.75,alta
VEN-00368,2026-06-25 10:25:00,CLI-0010,Junin,app,Audifonos,7,4228.57,media
VEN-00863,2026-01-02 14:35:00,CLI-0231,Junin,marketplace,Laptop,2,3473.48,alta
VEN-00846,2026-01-04 13:45:00,CLI-0110,Loreto,web,Impresora,1,2815.07,media
VEN-00869,2026-01-10 08:35:00,CLI-0122,Piura,marketplace,Impresora,5,3144.57,baja
VEN-00854,2026-01-11 03:23:00,CLI-0335,Arequipa,web,Teclado,8,4011.62,baja
VEN-00862,2026-01-17 13:54:00,CLI-0129,Junin,app,Laptop,7,5376.99,alta
VEN-00842,2026-01-23 12:26:00,CLI-0047,Cusco,marketplace,Audifonos,2,4379.1,baja
VEN-00876,2026-01-24 20:17:00,CLI-0179,Piura,marketplace,Impresora,4,5479.62,baja
VEN-00857,2026-01-26 20:11:00,CLI-0118,Lima,app,Impresora,3,4785.81,baja
VEN-00859,2026-01-28 03:18:00,CLI-0335,Arequipa,marketplace,Monitor,4,4865.5,baja
VEN-00880,2026-02-04 19:57:00,CLI-0033,Arequipa,app,Audifonos,8,4886.15,alta
VEN-00843,2026-02-07 05:40:00,CLI-0195,Piura,marketplace,Router,4,1892.28,media
VEN-00856,2026-02-08 03:50:00,CLI-0150,Loreto,marketplace,Teclado,6,2274.97,baja
VEN-00855,2026-02-12 14:06:00,CLI-0085,Lima,app,Teclado,4,1677.18,media
VEN-00874,2026-02-21 09:27:00,CLI-0119,La Libertad,web,SSD,4,2705.84,alta
VEN-00847,2026-02-23 08:00:00,CLI-0230,Piura,web,Router,8,1796.61,alta
VEN-00850,2026-02-27 21:40:00,CLI-0274,Junin,web,Router,4,4208.46,media
VEN-00848,2026-02-28 13:33:00,CLI-0236,Junin,marketplace,Monitor,1,4235.4,media
VEN-00849,2026-03-02 06:59:00,CLI-0100,Lima,tienda,Laptop,6,1394.2,media
VEN-00877,2026-03-04 23:18:00,CLI-0016,Lima,tienda,Teclado,4,1374.13,media
VEN-00868,2026-03-06 13:32:00,CLI-0331,La Libertad,web,Monitor,3,3602.6,alta
VEN-00867,2026-03-22 19:58:00,CLI-0015,Lima,tienda,Impresora,8,3627.09,alta
VEN-00872,2026-03-28 11:25:00,CLI-0316,Arequipa,tienda,SSD,5,5170.28,media
VEN-00860,2026-04-07 12:13:00,CLI-0089,Lima,marketplace,Mouse,8,613.25,media
VEN-00858,2026-04-16 19:49:00,CLI-0138,Cusco,tienda,SSD,1,595.52,baja
VEN-00861,2026-05-14 11:31:00,CLI-0269,Piura,tienda,Audifonos,1,2606.67,baja
VEN-00853,2026-05-24 08:59:00,CLI-0218,Cusco,web,SSD,6,3127.39,alta
VEN-00879,2026-05-24 23:32:00,CLI-0270,Lima,marketplace,Mouse,8,4504.94,baja
VEN-00871,2026-05-25 11:33:00,CLI-0092,Piura,app,Mouse,6,1342.21,alta
VEN-00870,2026-05-28 09:43:00,CLI-0169,Lima,app,Mouse,7,169.41,media
VEN-00844,2026-05-31 04:00:00,CLI-0066,Loreto,marketplace,Impresora,3,5111.15,alta
VEN-00873,2026-06-02 09:59:00,CLI-0068,Piura,tienda,Monitor,6,533.06,alta
VEN-00878,2026-06-04 18:20:00,CLI-0186,Piura,app,Impresora,4,991.99,alta
VEN-00865,2026-06-09 00:54:00,CLI-0095,Loreto,marketplace,Audifonos,4,5452.84,media
VEN-00845,2026-06-10 02:20:00,CLI-0069,Loreto,marketplace,Router,2,3210.07,alta
VEN-00866,2026-06-11 21:24:00,CLI-0326,Piura,marketplace,Laptop,1,4748.55,alta
VEN-00875,2026-06-12 00:49:00,CLI-0102,Lima,marketplace,Audifonos,6,3401.56,media
VEN-00851,2026-06-20 10:56:00,CLI-0196,Junin,marketplace,Router,4,2111.9,baja
VEN-00841,2026-06-20 11:40:00,CLI-0284,Junin,app,Teclado,8,4170.66,alta
VEN-00852,2026-06-28 10:14:00,CLI-0146,Arequipa,app,SSD,2,5296.76,media
VEN-00864,2026-06-28 13:52:00,CLI-0258,Piura,app,Router,2,1294.41,alta
VEN-00062,2026-01-03 20:19:00,CLI-0348,La Libertad,tienda,Audifonos,6,2084.8,alta
VEN-00054,2026-01-08 03:06:00,CLI-0098,Loreto,tienda,Teclado,1,4010.54,alta
VEN-00057,2026-01-14 11:10:00,CLI-0005,Loreto,web,Impresora,4,4380.53,alta
VEN-00059,2026-01-25 13:22:00,CLI-0250,Piura,tienda,Monitor,4,454.87,baja
VEN-00048,2026-01-27 13:31:00,CLI-0044,Piura,app,Router,1,4815.05,alta
VEN-00042,2026-01-28 02:06:00,CLI-0138,Arequipa,app,Laptop,6,1254.8,baja
VEN-00074,2026-02-09 01:57:00,CLI-0031,Arequipa,app,Monitor,8,4298.34,baja
VEN-00066,2026-02-09 10:03:00,CLI-0110,Lima,app,Router,3,2541.89,baja
VEN-00047,2026-02-09 12:38:00,CLI-0118,Piura,marketplace,Teclado,1,5028.49,media
VEN-00050,2026-02-14 13:29:00,CLI-0071,Cusco,tienda,Mouse,4,1853.49,media
VEN-00043,2026-02-24 00:11:00,CLI-0270,Piura,web,Teclado,3,5483.19,alta
VEN-00079,2026-03-01 00:10:00,CLI-0332,Lima,marketplace,Impresora,3,2404.27,alta
VEN-00056,2026-03-03 14:19:00,CLI-0175,Piura,tienda,SSD,6,3198.72,alta
VEN-00060,2026-03-06 01:55:00,CLI-0044,Lima,app,Audifonos,2,5101.02,alta
VEN-00080,2026-03-14 20:22:00,CLI-0285,Arequipa,web,Mouse,4,2541.78,media
VEN-00067,2026-03-16 17:15:00,CLI-0031,Piura,tienda,Laptop,5,3624.7,baja
VEN-00075,2026-03-18 15:34:00,CLI-0129,Loreto,app,Monitor,3,2596.91,alta
VEN-00044,2026-03-20 23:50:00,CLI-0124,Junin,marketplace,Impresora,3,5124.46,alta
VEN-00077,2026-03-22 03:11:00,CLI-0347,Loreto,marketplace,SSD,7,2510.17,media
VEN-00046,2026-03-24 21:59:00,CLI-0091,Lima,marketplace,Audifonos,3,3980.19,alta
VEN-00072,2026-03-28 22:21:00,CLI-0087,Lima,app,SSD,3,1506.55,alta
VEN-00041,2026-03-29 17:51:00,CLI-0225,Arequipa,web,SSD,4,1147.67,media
VEN-00068,2026-04-17 04:38:00,CLI-0114,Junin,marketplace,SSD,1,3934.45,alta
VEN-00051,2026-04-28 19:41:00,CLI-0121,Arequipa,app,Monitor,2,3319.94,media
VEN-00061,2026-04-29 01:26:00,CLI-0094,Arequipa,web,Monitor,1,1412.02,media
VEN-00065,2026-04-29 09:56:00,CLI-0142,Piura,marketplace,Impresora,2,2353.64,alta
VEN-00063,2026-05-01 17:32:00,CLI-0054,Lima,web,Teclado,4,149.2,baja
VEN-00049,2026-05-03 01:59:00,CLI-0281,Loreto,app,Router,5,3368.48,baja
VEN-00053,2026-05-07 02:07:00,CLI-0236,Lima,tienda,Teclado,5,2197.8,baja
VEN-00078,2026-05-10 17:25:00,CLI-0232,Junin,web,Mouse,5,139.41,media
VEN-00064,2026-05-14 00:08:00,CLI-0320,Lima,app,Laptop,3,118.87,media
VEN-00045,2026-05-17 09:18:00,CLI-0278,Piura,web,Teclado,5,4547.19,baja
VEN-00069,2026-05-20 16:14:00,CLI-0219,Cusco,marketplace,Teclado,4,798.86,media
VEN-00055,2026-05-26 23:55:00,CLI-0218,Cusco,tienda,SSD,2,4762.79,media
VEN-00070,2026-06-09 16:15:00,CLI-0184,Arequipa,tienda,Router,6,3111.76,baja
VEN-00058,2026-06-10 01:49:00,CLI-0245,Junin,web,Laptop,6,3545.68,media
VEN-00073,2026-06-10 17:36:00,CLI-0155,Piura,marketplace,Impresora,5,3453.41,alta
VEN-00076,2026-06-12 13:59:00,CLI-0254,Junin,tienda,Audifonos,3,1636.76,media
VEN-00071,2026-06-16 02:07:00,CLI-0336,Lima,tienda,Audifonos,2,675.83,baja
VEN-00052,2026-06-29 23:02:00,CLI-0222,Piura,app,Impresora,1,2677.0,media
VEN-00313,2026-01-08 12:01:00,CLI-0258,Junin,web,Laptop,5,5024.67,baja
VEN-00290,2026-01-10 02:26:00,CLI-0270,Arequipa,web,Teclado,3,3082.24,alta
VEN-00307,2026-01-10 07:48:00,CLI-0308,Piura,app,Monitor,2,440.78,alta
VEN-00304,2026-01-11 06:51:00,CLI-0347,Loreto,tienda,Router,3,494.17,baja
VEN-00310,2026-01-16 15:17:00,CLI-0021,Junin,app,SSD,8,3665.95,alta
VEN-00292,2026-01-19 17:18:00,CLI-0021,Loreto,tienda,Impresora,7,3515.5,baja
VEN-00305,2026-01-20 17:35:00,CLI-0276,Cusco,web,Teclado,2,1665.34,alta
VEN-00300,2026-01-23 03:57:00,CLI-0068,Cusco,marketplace,SSD,3,734.01,baja
VEN-00301,2026-01-27 17:54:00,CLI-0179,Junin,marketplace,SSD,2,2158.19,media
VEN-00288,2026-02-03 05:19:00,CLI-0053,Cusco,app,Audifonos,2,4076.16,baja
VEN-00291,2026-02-06 09:32:00,CLI-0248,Cusco,tienda,Teclado,5,740.65,baja
VEN-00284,2026-02-06 16:16:00,CLI-0071,Lima,app,Impresora,3,3822.72,baja
VEN-00320,2026-02-07 06:42:00,CLI-0176,Loreto,tienda,Mouse,3,4132.73,baja
VEN-00302,2026-02-18 06:40:00,CLI-0013,Lima,tienda,Teclado,7,2573.31,media
VEN-00314,2026-02-27 08:27:00,CLI-0077,Junin,app,Router,5,3401.14,alta
VEN-00317,2026-03-01 03:21:00,CLI-0100,Loreto,marketplace,SSD,1,1847.96,baja
VEN-00285,2026-03-09 09:14:00,CLI-0278,Arequipa,tienda,Laptop,6,4657.74,baja
VEN-00287,2026-03-15 21:49:00,CLI-0211,Cusco,app,Impresora,8,2780.68,media
VEN-00296,2026-03-23 05:00:00,CLI-0006,Lima,web,Laptop,3,1681.31,baja
VEN-00281,2026-03-25 19:15:00,CLI-0286,La Libertad,marketplace,SSD,5,391.07,alta
VEN-00283,2026-04-04 00:16:00,CLI-0092,Lima,marketplace,Impresora,2,2987.27,media
VEN-00282,2026-04-09 09:07:00,CLI-0059,Cusco,web,Mouse,4,1480.74,alta
VEN-00306,2026-04-11 23:09:00,CLI-0253,La Libertad,tienda,SSD,1,2413.48,alta
VEN-00319,2026-04-15 21:15:00,CLI-0086,Lima,app,Router,8,3906.45,baja
VEN-00294,2026-04-20 12:25:00,CLI-0117,Arequipa,marketplace,Mouse,3,109.08,baja
VEN-00298,2026-04-21 07:21:00,CLI-0197,Cusco,tienda,Impresora,7,4518.77,alta
VEN-00286,2026-04-22 08:04:00,CLI-0157,Arequipa,app,Teclado,1,2040.14,baja
VEN-00315,2026-04-26 02:54:00,CLI-0264,Cusco,app,Teclado,2,4743.52,baja
VEN-00308,2026-05-05 16:33:00,CLI-0239,Piura,marketplace,Impresora,8,4888.3,media
VEN-00311,2026-05-08 16:00:00,CLI-0288,Piura,app,Audifonos,1,4075.87,alta
VEN-00309,2026-05-14 15:35:00,CLI-0107,Piura,app,Audifonos,6,509.27,media
VEN-00297,2026-05-15 01:51:00,CLI-0089,Piura,app,Mouse,1,3370.46,baja
VEN-00299,2026-05-16 15:52:00,CLI-0130,Junin,tienda,Mouse,8,1216.57,alta
VEN-00318,2026-05-19 07:33:00,CLI-0218,Piura,tienda,Mouse,5,412.43,media
VEN-00312,2026-06-06 10:56:00,CLI-0112,Junin,web,Impresora,6,3158.71,alta
VEN-00293,2026-06-11 04:32:00,CLI-0199,Piura,app,Impresora,5,3797.47,alta
VEN-00289,2026-06-11 08:16:00,CLI-0170,Lima,marketplace,Monitor,8,5362.8,alta
VEN-00303,2026-06-15 09:46:00,CLI-0303,Junin,web,Mouse,3,3490.11,baja
VEN-00295,2026-06-18 03:49:00,CLI-0042,Arequipa,tienda,SSD,2,4975.82,alta
VEN-00316,2026-06-29 18:27:00,CLI-0181,Junin,app,Monitor,8,3429.47,media
VEN-00724,2026-01-06 04:28:00,CLI-0316,Loreto,app,Audifonos,6,81.24,alta
VEN-00733,2026-01-09 05:05:00,CLI-0139,Lima,web,Laptop,3,5349.83,baja
